Q29ubm9yIENhcnI=,,,,,
4,,,,,
SNR, Next SNR, Value1, Value2, Value3, Value4
7.8,7.9,8,8,8,8
7.9,8,8,8,8,8
8,8.1,8,8,8,8
8.1,8.2,8,8,8,8
8.2,8.3,8,8,8,8
8.3,8.4,8,8,8,8
8.4,8.5,8,8,8,8
8.5,8.6,8,8,8,8
8.6,8.7,8,8,8,8
8.7,8.8,8,8,8,8
8.8,8.9,8,8,8,8
8.9,9,8,8,8,8
9,9.1,8,8,8,8
9.1,9.2,8,8,8,8
9.2,9.3,8,8,8,8
9.3,9.4,8,8,8,8
9.4,9.5,8,8,8,8
9.5,9.6,8,8,8,8
9.6,9.7,8,8,8,8
9.7,9.8,8,8,8,8
9.8,9.9,8,8,8,8
9.9,10,8,8,8,8
10,10.1,8,8,8,8
10.1,10.2,8,8,8,8
10.2,10.3,8,8,8,8
10.3,10.4,8,8,8,8
10.4,10.5,8,8,8,8
10.5,10.6,8,8,8,8
10.6,10.7,8,8,8,8
10.7,10.8,8,8,8,8
10.8,10.9,8,8,8,8
10.9,11,8,8,8,8
11,11.1,8,8,8,8
11.1,11.2,8,8,8,8
11.2,11.3,8,8,8,8
11.3,11.4,8,8,8,8
11.4,11.5,8,8,8,8
11.5,11.6,8,8,8,8
11.6,11.7,8,8,8,8
11.7,11.8,8,8,8,8
11.8,11.9,8,8,8,8
11.9,12,8,8,8,8
12,12.1,8,8,8,8

